Place,Date,Time_408,Value_C_408,Unit_C_408,Value_408,Unit_408,calibrated_C_408,,Place,Date,Time_401,Value_C_401,Unit_C_401,Value_401,Unit_401,calibrated_C_401,,Place,Date,Time_406,Value_C_406,Unit_C_406,Value_406,Unit_406,calibrated_C_406,,Place,Date,Time_405,Value_C_405,Unit_C_405,Value_405,Unit_405,calibrated_C_405,,Place,Date,Time_402,Value_C_402,Unit_C_402,Value_402,Unit_402,calibrated_C_402,,Place,Date,Time_403,ValueC__403,Unit_403,Value_C_403,Unit_403,calibrated_C_403,,Place,Date,Time_404,Value_C_404,Unit_C_404,Value_404,Unit_404,calibrated_C_404,,Place,Date,Time_407,Value_C_407,Unit_C_407,Value_407,Unit_407,calibrated_C_407
1,10/5/2021,13:17:44,28.2,T1 KTemp C,29.1,T2 KTemp C,26.7955836,,1,10/4/2021,14:33:33,16.1,T1 KTemp C,19.7,T2 KTemp C,14.5576497,,1,10/4/2021,14:54:53,34.8,T1 KTemp C,35.3,T2 KTemp C,33.4298244,,1,10/4/2021,15:22:16,35.9,T1 KTemp C,34.3,T2 KTemp C,34.67366,,1,10/4/2021,15:55:06,15,T1 KTemp C,19.7,T2 KTemp C,13.446818,,1,10/4/2021,16:27:04,35.7,T1 KTemp C,36.3,T2 KTemp C,34.3344936,,1,10/4/2021,16:47:28,26.2,T1 KTemp C,26.3,T2 KTemp C,24.800313,,1,10/4/2021,17:15:15,14.5,T1 KTemp C,12.5,T2 KTemp C,13.030288
2,10/5/2021,13:17:45,28.2,T1 KTemp C,29.1,T2 KTemp C,26.7955836,,2,10/4/2021,14:33:34,16.1,T1 KTemp C,19.7,T2 KTemp C,14.5576497,,2,10/4/2021,14:54:54,34.8,T1 KTemp C,35.3,T2 KTemp C,33.4298244,,2,10/4/2021,15:22:17,35.9,T1 KTemp C,34.3,T2 KTemp C,34.67366,,2,10/4/2021,15:55:07,15,T1 KTemp C,19.7,T2 KTemp C,13.446818,,2,10/4/2021,16:27:05,35.7,T1 KTemp C,36.3,T2 KTemp C,34.3344936,,2,10/4/2021,16:47:29,26.2,T1 KTemp C,26.3,T2 KTemp C,24.800313,,2,10/4/2021,17:15:16,14.5,T1 KTemp C,12.5,T2 KTemp C,13.030288
3,10/5/2021,13:17:46,28.2,T1 KTemp C,29,T2 KTemp C,26.7955836,,3,10/4/2021,14:33:35,16,T1 KTemp C,19.7,T2 KTemp C,14.456665,,3,10/4/2021,14:54:55,34.9,T1 KTemp C,35.3,T2 KTemp C,33.5303432,,3,10/4/2021,15:22:18,35.9,T1 KTemp C,34.3,T2 KTemp C,34.67366,,3,10/4/2021,15:55:08,15,T1 KTemp C,19.7,T2 KTemp C,13.446818,,3,10/4/2021,16:27:06,35.7,T1 KTemp C,36.1,T2 KTemp C,34.3344936,,3,10/4/2021,16:47:30,26.2,T1 KTemp C,26.3,T2 KTemp C,24.800313,,3,10/4/2021,17:15:17,14.5,T1 KTemp C,12.5,T2 KTemp C,13.030288
4,10/5/2021,13:17:47,28.2,T1 KTemp C,28.9,T2 KTemp C,26.7955836,,4,10/4/2021,14:33:36,16,T1 KTemp C,19.7,T2 KTemp C,14.456665,,4,10/4/2021,14:54:56,35,T1 KTemp C,35.3,T2 KTemp C,33.630862,,4,10/4/2021,15:22:19,35.9,T1 KTemp C,34.3,T2 KTemp C,34.67366,,4,10/4/2021,15:55:09,15,T1 KTemp C,18.6,T2 KTemp C,13.446818,,4,10/4/2021,16:27:07,35.7,T1 KTemp C,36,T2 KTemp C,34.3344936,,4,10/4/2021,16:47:31,26.1,T1 KTemp C,26.2,T2 KTemp C,24.6994665,,4,10/4/2021,17:15:18,14.5,T1 KTemp C,12.5,T2 KTemp C,13.030288
5,10/5/2021,13:17:48,28.2,T1 KTemp C,28.9,T2 KTemp C,26.7955836,,5,10/4/2021,14:33:37,16,T1 KTemp C,19.7,T2 KTemp C,14.456665,,5,10/4/2021,14:54:57,35.1,T1 KTemp C,35.3,T2 KTemp C,33.7313808,,5,10/4/2021,15:22:20,35.9,T1 KTemp C,34.3,T2 KTemp C,34.67366,,5,10/4/2021,15:55:10,15,T1 KTemp C,18.6,T2 KTemp C,13.446818,,5,10/4/2021,16:27:08,35.7,T1 KTemp C,35.9,T2 KTemp C,34.3344936,,5,10/4/2021,16:47:32,26.1,T1 KTemp C,26.1,T2 KTemp C,24.6994665,,5,10/4/2021,17:15:19,14.5,T1 KTemp C,12.5,T2 KTemp C,13.030288
6,10/5/2021,13:17:49,28.2,T1 KTemp C,28.8,T2 KTemp C,26.7955836,,6,10/4/2021,14:33:38,16,T1 KTemp C,19.7,T2 KTemp C,14.456665,,6,10/4/2021,14:54:58,35.2,T1 KTemp C,35.3,T2 KTemp C,33.8318996,,6,10/4/2021,15:22:21,35.9,T1 KTemp C,34.3,T2 KTemp C,34.67366,,6,10/4/2021,15:55:11,15,T1 KTemp C,18.6,T2 KTemp C,13.446818,,6,10/4/2021,16:27:09,35.7,T1 KTemp C,35.8,T2 KTemp C,34.3344936,,6,10/4/2021,16:47:33,26.1,T1 KTemp C,26.1,T2 KTemp C,24.6994665,,6,10/4/2021,17:15:20,14.5,T1 KTemp C,12.5,T2 KTemp C,13.030288
7,10/5/2021,13:17:50,28.2,T1 KTemp C,28.7,T2 KTemp C,26.7955836,,7,10/4/2021,14:33:39,16,T1 KTemp C,19.6,T2 KTemp C,14.456665,,7,10/4/2021,14:54:59,35.2,T1 KTemp C,35.3,T2 KTemp C,33.8318996,,7,10/4/2021,15:22:22,35.8,T1 KTemp C,34.3,T2 KTemp C,34.572503,,7,10/4/2021,15:55:12,15,T1 KTemp C,18.6,T2 KTemp C,13.446818,,7,10/4/2021,16:27:10,35.7,T1 KTemp C,35.8,T2 KTemp C,34.3344936,,7,10/4/2021,16:47:34,26.1,T1 KTemp C,26.1,T2 KTemp C,24.6994665,,7,10/4/2021,17:15:21,14.5,T1 KTemp C,12.5,T2 KTemp C,13.030288
8,10/5/2021,13:17:51,28.2,T1 KTemp C,28.6,T2 KTemp C,26.7955836,,8,10/4/2021,14:33:40,16,T1 KTemp C,19.6,T2 KTemp C,14.456665,,8,10/4/2021,14:55:00,35.2,T1 KTemp C,35.4,T2 KTemp C,33.8318996,,8,10/4/2021,15:22:23,35.9,T1 KTemp C,34.4,T2 KTemp C,34.67366,,8,10/4/2021,15:55:13,14.9,T1 KTemp C,18.6,T2 KTemp C,13.3458333,,8,10/4/2021,16:27:11,35.7,T1 KTemp C,35.7,T2 KTemp C,34.3344936,,8,10/4/2021,16:47:35,26.1,T1 KTemp C,26.1,T2 KTemp C,24.6994665,,8,10/4/2021,17:15:22,13.8,T1 KTemp C,12.5,T2 KTemp C,12.3230878
9,10/5/2021,13:17:52,28.2,T1 KTemp C,28.6,T2 KTemp C,26.7955836,,9,10/4/2021,14:33:41,16,T1 KTemp C,19.6,T2 KTemp C,14.456665,,9,10/4/2021,14:55:01,35.3,T1 KTemp C,35.5,T2 KTemp C,33.9324184,,9,10/4/2021,15:22:24,35.9,T1 KTemp C,34.4,T2 KTemp C,34.67366,,9,10/4/2021,15:55:14,15,T1 KTemp C,18.5,T2 KTemp C,13.446818,,9,10/4/2021,16:27:12,35.8,T1 KTemp C,35.7,T2 KTemp C,34.4350124,,9,10/4/2021,16:47:36,26.1,T1 KTemp C,26.1,T2 KTemp C,24.6994665,,9,10/4/2021,17:15:23,13.8,T1 KTemp C,12.6,T2 KTemp C,12.3230878
10,10/5/2021,13:17:53,28.1,T1 KTemp C,28.5,T2 KTemp C,26.6950648,,10,10/4/2021,14:33:42,16,T1 KTemp C,19.6,T2 KTemp C,14.456665,,10,10/4/2021,14:55:02,35.3,T1 KTemp C,35.6,T2 KTemp C,33.9324184,,10,10/4/2021,15:22:25,35.9,T1 KTemp C,34.4,T2 KTemp C,34.67366,,10,10/4/2021,15:55:15,15,T1 KTemp C,18.4,T2 KTemp C,13.446818,,10,10/4/2021,16:27:13,35.8,T1 KTemp C,35.7,T2 KTemp C,34.4350124,,10,10/4/2021,16:47:37,26.1,T1 KTemp C,26.1,T2 KTemp C,24.6994665,,10,10/4/2021,17:15:24,13.8,T1 KTemp C,12.7,T2 KTemp C,12.3230878
