Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
1,10/4/2021,13:17:44,28.2,T1 KTemp C,29.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
2,10/4/2021,13:17:45,28.2,T1 KTemp C,29.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
3,10/4/2021,13:17:46,28.2,T1 KTemp C,29,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
4,10/4/2021,13:17:47,28.2,T1 KTemp C,28.9,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
5,10/4/2021,13:17:48,28.2,T1 KTemp C,28.9,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
6,10/4/2021,13:17:49,28.2,T1 KTemp C,28.8,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
7,10/4/2021,13:17:50,28.2,T1 KTemp C,28.7,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
8,10/4/2021,13:17:51,28.2,T1 KTemp C,28.6,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
9,10/4/2021,13:17:52,28.2,T1 KTemp C,28.6,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
10,10/4/2021,13:17:53,28.1,T1 KTemp C,28.5,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
11,10/4/2021,13:17:54,28.1,T1 KTemp C,28.5,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
12,10/4/2021,13:17:55,28.1,T1 KTemp C,28.5,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
13,10/4/2021,13:17:56,28.1,T1 KTemp C,28.4,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
14,10/4/2021,13:17:57,28.1,T1 KTemp C,28.4,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
15,10/4/2021,13:17:58,28.1,T1 KTemp C,28.4,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
16,10/4/2021,13:17:59,28.2,T1 KTemp C,28.3,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
17,10/4/2021,13:18:00,28.2,T1 KTemp C,28.3,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
18,10/4/2021,13:18:01,28.2,T1 KTemp C,28.3,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
19,10/4/2021,13:18:02,28.2,T1 KTemp C,28.3,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
20,10/4/2021,13:18:03,28.2,T1 KTemp C,28.3,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
21,10/4/2021,13:18:04,28.2,T1 KTemp C,28.2,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
22,10/4/2021,13:18:05,28.2,T1 KTemp C,28.2,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
23,10/4/2021,13:18:06,28.2,T1 KTemp C,28.2,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
24,10/4/2021,13:18:07,28.2,T1 KTemp C,28.2,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
25,10/4/2021,13:18:08,28.2,T1 KTemp C,28.2,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
26,10/4/2021,13:18:09,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
27,10/4/2021,13:18:10,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
28,10/4/2021,13:18:11,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
29,10/4/2021,13:18:12,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
30,10/4/2021,13:18:13,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
31,10/4/2021,13:18:14,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
32,10/4/2021,13:18:15,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
33,10/4/2021,13:18:16,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
34,10/4/2021,13:18:17,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
35,10/4/2021,13:18:18,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
36,10/4/2021,13:18:19,28.2,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
37,10/4/2021,13:18:20,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
38,10/4/2021,13:18:21,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
39,10/4/2021,13:18:22,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
40,10/4/2021,13:18:23,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
41,10/4/2021,13:18:24,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
42,10/4/2021,13:18:25,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
43,10/4/2021,13:18:26,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
44,10/4/2021,13:18:27,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
45,10/4/2021,13:18:28,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
46,10/4/2021,13:18:29,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
47,10/4/2021,13:18:30,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
48,10/4/2021,13:18:31,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
49,10/4/2021,13:18:32,28.3,T1 KTemp C,28.2,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
50,10/4/2021,13:18:33,28.3,T1 KTemp C,28.2,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
51,10/4/2021,13:18:34,28.3,T1 KTemp C,28.2,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
52,10/4/2021,13:18:35,28.3,T1 KTemp C,28.2,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
53,10/4/2021,13:18:36,28.3,T1 KTemp C,28.2,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
54,10/4/2021,13:18:37,28.3,T1 KTemp C,28.2,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
55,10/4/2021,13:18:38,28.3,T1 KTemp C,28.2,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
56,10/4/2021,13:18:39,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
57,10/4/2021,13:18:40,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
58,10/4/2021,13:18:41,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
59,10/4/2021,13:18:42,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
60,10/4/2021,13:18:43,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
61,10/4/2021,13:18:44,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
62,10/4/2021,13:18:45,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
63,10/4/2021,13:18:46,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
64,10/4/2021,13:18:47,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
65,10/4/2021,13:18:48,28.3,T1 KTemp C,28.1,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
